Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
A'pitcidac kri*nandam waca/u Nanabucu wlnisat. Midac ka/ijikacki'tot kinisat Ini/u ucPmayan. Midac atcina klclpayantamon. ||| But thoroughly determined was Nanabushu to kill him. Whereupon he then succeeded in killing his younger brother.
"Mackut klgamganis o8fo'witi ka'i'jawat ogo/u kanipimatisisiguk • mi'i'witi tci'a*yayan, mri'witi tcinlganisiyan." ||| And so for a little while was the other out of his wits.
Anic midac kaegalt ka'i'jina'kwa'tawat mldac ka'i'ji'i'nat : "Mamindaga kidiniga'a1 ;aca/u anicinaba pitcinag wanipimatisit." ||| "Instead you shall be leader over there where will go these who are to die ; in that place shall you remain, in that place shall you be foremost."
"Ayec, osamisa tanonta mockina o^o/u alki. Anlndidac tci-a'ya'pan 'aVwisa anicinaba *aca/u pitcinag kani'o*ntatisit? Midac intawa lisi/u ka'irntci'i'jiwabisit lasa/u anicinaba 4Ri/u tcinibut. Nar, lisi/u wandcri'citcigayan i'i^wisa tcinibut 'aca/u pitcinag ka'a-nimockinat o'O'man a'kmg, o'o' ka'irjitoyan o a'ki. Anawi kitakri'jitcigamin 'isi/u panima kawlgi'kat tciglnibo'pan, kawlndac ningutci ta*a*yasl wo^'o'' ||| So then truly, after he gave him answer (and consented), this was what he said to him : " Particular harm have you brought upon the people who in time to come are to live."
ijiwaba'k. Na, midac ka/irndcri'jiwaba'k Ii8i'u magwa abinodcri-wit Wu tcinibut. Na', misa iu wayabantaman, midac tibicko ka/rjiwabisit Ia8a/u pitclnag ka'a'ninibut tibickogu ka'ijiwabisiyan. Anicasa tayanda'kl owat1 paji'k alki. Ayayan tcinasi'kawi'k ka'a-nri'ckwayat." ||| "Yea, overmuch (and) too soon will this earth fill up. Where will live the people who in after time are to be born? Now, therefore, this is what shall come to pass, that people are to die. So, therefore, this is why I have brought it about that they should die who in times to come will fill up this earth, this earth which I have created. Although we could bring it to pass that not till they have reached old age they should die, yet nowhere would they have room if this should take place. Therefore this is how it shall come to pass that while they are yet in infancy they shall die. Such, therefore, is what I now
Na, misa ka/ijictcigat Ia8a/u Nanabucu. Na, midac cigwa kra-ndawabamat Ini/u o^kumisan. Midac mlnawa kra'wltci'a-yawat. Nigutlngigu mlnawa ka'i-ci'i-'kitut 48i/u winandunawat lni/u paji'k wltcikiwayan, '•oPo'dac ugri'gon ||| 5. Nanabushu and the Winged Startlers 41 -
kltakackitosm mlnawa anawi wlmackawatwa. Mri/>u kanawanimigut 'a8a/u wanantunawat. Wo'O'widac klgatina wa8a/u wa8wa awagwan ni'tam kanontagusigwan : 'Cii!' kigatina. 'Nacka a11 mackwat wabisfpin,' kiga'i'na. Mldac ka/rjinlminamawat o'o'dac ta'i''kito wa8a/u waswa : ^Nimalkamig !ni/u wabisipinln,' lasa/u waswa ta'i-'kito. Misawadac mlnawa rrma anikacki'o-yan i'i'ma11 mlnawa abiting kayabi. Mldac cigwa tcigl'kabaiyan i'i'ma ayat. Mldac anigu'piyan tmdisiwan nondagusinit. Tabltciba'to, o'o'dac klgatcictcigit ; mi'tigumin klganlminamawa. Mldac ka*i'4kitut: lNima4kamig 'i7!11 mi'tigumin lasa/u tindlsi tai'kito.' Midac mlnawa i'i'ma tclpitagwicing 'a^wisa i'i'ma ayat minising." O'O'widac ogi'i'gon ini/u o^kumisan : " Wantcita nawiminis ta lasa/u nandawabamat. Wa'kwagan *isi/u andat." ||| 6. Nanabushu and the Dancing Bullrushes . < 45 —
Nar, midac cigwa klmadcat, kl'pozit 48i/u utclman. ||| 7. Nanabushu, the Sweet-Brier Berries, and the Sturgeons . . 49
Ningutingigu kaega't papimickat ri'wisa kistcigami cigwa gaga/t oglwabandan kago ta'kamakundanik. "Anlc," ogri'gon lni/u o'kumisan *ofio/u ; "kawln potc kitakackitosin tciwlmackaman" ogri'gon Ini/u o'kumisan. A4pri*dac wadi'tawat Ini/u pigiwan, mldac ka/rjiposinank li€i/u utciman kaya 48i/u utabwi ; mldac ka'i'citca'kisat, mlsa kakanaga pangl kra'gukaslwan i'i'ma utcimaning kaya utabwlng. Nax, mldac ka^ga't wiwaylba klposinank ^Y utciman kaya W11 utabwi. Mldac ajikackitot klgabi'kawat Ini/u pigiwan. Mldac ka/i'jimadcru-t. Ningutingigu mlnawa papimickat ml cigwa gaga't ogiwabaman cingwa'kwan kri'nandam. Ajigwa ubacwabandan, kuninginln mlwa/nini/u ki'tci'o'gawan. Ocrwidac ogri'nan a'pi wadi'tawat: "Ambasano kawa'kun Igi/u kimistcigu't," ugri'nan Ini/u tcro'gawan. ||| 8. Nanabushu and the Wolves 73 -
"Ic, anln andiyan ?" obri'nani. ||| see. It is the same thing that will happen to them who in the future are to live, and like unto what is now hap pening to you. It is only a change of going from one earth to another. To you where you are shall come they
"Ka, nima^kamig caca/u waswa ini/u wabisipinin," ki'i'ckito awaswa. O'5'widac kri-'kito : "Anln win kaya win manakacki'a't Ini/u wabisipinin?" oglprrgon. ||| who shall cease to live (here)."
cigwa kaga't anipapimusa/t. Kaga't owabamigon tindlsiwan ; cigwa weyabamigut tmdisiwan ajinondagusinit. Ka/rjiniminamawat 'isi/u mi'tigumin, mldac ka/ijiklckuwanit. ||| Such, therefore, was what Nanabushu did. So accord ingly he went to seek his grandmother. Thereupon again he went and staid with her. On another occasion when he said that he intended to go and look for another of his brothers, then this was he told by his grandmother : "You would not be able to kill him," he was told by his grandmother. "Many are they under whose watch he is kept. That is the reason why it will be impossible for you to succeed. Give ear, and I will declare to you what you are likely to see should you by chance happen to go. Now, upon an island abides he that hews upon his shin. And listen ! Out across the middle of this sea some pitch extends, floating upon the water. Not will you succeed in passing (by that place), even though you should try to make use of a canoe ; there on every part of your canoe will (the pitch) stick. So that is one of the things which you will see. Furthermore, as you go paddling along, should you by chance succeed in passing in your canoe, then something else will you behold, some pines you will think them to be. That is the Great Pike whose big fins upon the back you will see. Not at all will you succeed if you wish to pass around. Therefore that is one of the difficult places lying in (your way). Should you again succeed in passing the place with your canoe, and then go paddling on a certain distance, you will come in sight of the place where he is. And as you approach the place, you will see some swans that will be in a swarm.
Cigwa mmawa kipitcipa'tonit. " Ic ! anin andiyan ?" ogrrnan Ini/u tmdisiwan. ||| And now you will not succeed again, even though it be your wish to pass round them. So in the keeping of these is he whom you wish to seek. Now, this is what you will say to the Swan, whichsoever shall be the first to make itself heard: 'Hist!' you shall say to it. 'Look, here is in payment a white potato,' you shall say to it. Thereupon as you offer it (the potato), this is what the Swan will say : 'He is taking from me the white potato,' the Swan will say. And if by chance again through that place you succeed in passing with your canoe, there will still remain one other (difficulty), and it will be where you go ashore there where he is. And when you go up from the shore, a Bluejay will be heard calling. He will come running hitherward, and this is what you shall do : an acorn shall you offer to it. And this is what it will say : 'He is taking the acorn from me/ the Bluejay will say. So then next to the place will come he who abides there on the island." And this was what he was told by his grandmother: "In the very centre of the island dwells the one whom you seek. At one end of it is his home."
O'o'widac kri''kitu £aca/u tindisi : "Nima'kamig Ii8i/u mi'tigumin." lA8a/u tindisi ogri'gon : "Anm win kaya win manakacki'tot Ci2i/u mi'tigumin ?" Mldac a'pl mlnawa klniacakiwanit. Mldac cigwa mlnawa kimo'kit 'a8a/u Nanabucu. Anic animamadcat, cigwa tababandamawan Ii8i/u andanit. Kaga't ki'tciwaya'kwagan. Mldac ajrcrdisat madwa'i-gawan i'i-ma andanit. Mldac ka/rcita'pabamat i'i'man andanit, kunigimn Ii8i/u uka'kwananan tcagika'a-minit ! Mldac kanawabamat, kawin kanaga pmabislwan. ||| So thereupon he began upon the work of making his canoe. After he had finished it, he then sought for a game-being that was unsurpassingly fat. After he had made the oil, he then put away all that he expected to use. Next he sought for a white potato. After he had obtained the white potato, he next looked for the acorns. So therefore was he now fully prepared. And then was when he started on the work of making his arrows. Now, when he had finished making his arrows, "Now, therefore, I want to be off (to war)," he said to his grandmother. And this was what he said to her: "Four days I shall spend crossing this sea, for the length of time that it will be (calm will be) four days/' (so) said Nanabushu.
ogri'gon a" Nanabucu, ugrrgon : "Pa'ka a'kawa, pama plndi^ka/kan " uoa'i'ofdn. ||| So therefore he started away, he was in his canoe.
Mldac ka'rcikanawabamat cigwa mlnawa ugikanonigon, "Mri'-11 ijipmdigan," ugrrgon. Mldac kaegalt ajipmdigat. Anlc a'picimonikawan ri'ma tcinamadapit. Kaga't mi'i'ma11 ka'i'conabit o'o*widac ogl'i'gon : "Kagatsa, Nanabucu, kimanito1 klpigacki'O'yan i'i'wisa wf piwabamiyan. Kamawln anica kipijasi," ugri'gon. ||| Now, truly, once as he went journeying by canoe over that sea, he now indeed beheld something lying lengthwise upon the water across his way. "To be sure," he had been told by his grandmother about this; "in no way will you succeed in passing round it," he had been told by his grandmother. Now, when he was approaching the pitch, he then oiled his canoe and his paddle ; and when he drove his canoe into (the pitch), not even a speck (of the pitch) was stuck to his canoe or his paddle. So it was true that every now and then he kept oiling his canoe and his paddle. So thus he succeeded in passing through the pitch. Thereupon he continued his way. And another time as he was journeying along in his canoe, he now truly saw some pines, he thought. Soon he got a near view, and, sure enough, it was the Great Pike. And this he said to it when he drew up to it : " Please lower the fins of your back," he said to the Great Pike.
Ocrwidac ugiinan : "Anicasagu nibrija," ugri'nan 'aca/u Nanabucu. ||| And then truly, after the Great Pike had done so, he accordingly passed over it. And then was when he came in sight of the place whither he was bound. Presently he got a close view of it, now truly he saw the Swan. Soon was he observed by the Swan, then it was heard calling. "Hist!" he said to it, after which he offered it the white potato.
"Kawm anica kibljasl," ugri'gon. ||| Then it came running.
Anlc utanu'a-gunwa'tawan 48i/u igut. "Anicasagu kipimawadisin," ugri'nan. ||| "Hist! What is the matter with you?" to it said (the manitou) coming (to it).
"Ml nangwana iu gagat anica prijasiwan," ugl'i'gon. ||| "Oh, from me is he taking the white potato!" said the Swan. And this he said: "Why is he not himself able to procure the white potato?" he was told by the other coming hither.
"Kawm," ugl*i*nan ; "mini'kina iu anica kitatacikanawabamin idac," ugri'nan. ||| Now, while the other was on his way back, in hiding of course was Nanabushu. And that was when he con tinued on. After he went ashore, he then left behind all
"Aye8," o'd'dac ogl'i'gon: "Iwa ojawaskwanwins upigwackunk kaya dac plwanak naba'i'gank, mlsai tcinisiguyamban. Na, mri/>u wlndamonan. Kinidac, Nanabucu? Wagunani iu kanisiguyamban ?" ||| of his equipments. After he had gone up from the shore, he then truly went walking along. In truth, he was observed by the Bluejay; as soon as he was seen, the Bluejay was heard calling out. After he had offered it the oak acorn, it therefore ceased its cries.
jipasigwlt Ca8a/u Nanabucu ka'pri'jimadcat rrman utclmaning. Midac caylgwa krtrjrtat 48i/u kawlndaminit iu kanisigunit. Mitac 'i8i/u klpigwaku'kat. Kaklci'tot, midac sasa'twat klmawinatank 49i/u wlgiwam. ||| Now again came the other running. "Hist! What is the matter with you?" he said to the Bluejay.
"Micanim!" ugri'gon Nanabucu. " Mmangwana gaga't pinantupanftawit," ugri'gon. Minangwana gu iu ka'pisaga*a-nk madawananigubanan 48i/u uplwayackina8 ; klpincligananit i'i*man andanit. Amc midac cigwa pacwabandank 48i/u wlgiwam, midac sagisltagogubanan. Midac ka'i'jipimwat upi'kwananing, wantcitagu na'U'pi'kwan ugrrninawan. Midac kanljicawabipitonit 'i8i/u ubikwa'k, midac ka/rjigwaniblt ; midac wmi'tam ka*i jipimmija'irgut, wlni'tam ka'i'jipimugut naarpi^kwan. Amc midac kaya win ka/rcicawabipitot Ii8i/u ubikwa'kuni. ||| And this said the Bluejay: "He took from me the oak acorn." The Bluejay was told by the other : " Why is he not himself able to procure the oak acorns ?" There upon he was on his way back home. Then was when again Nanabushu came out of his hiding. Soon on his way he slowly went, till presently he came in sight of the dwelling of the being. It was really a very long lodge. And as he was coming up to him, he could hear him pounding upon something in where he lived. And so when he peeped in at him there in his dwelling, behold, it was upon his shins that he was hewing ! And so he watched him, but not a look did the other cast up at him.
Anic misa cigwa minawa wini'tam kipiminica*u'gut, cigwa ||| And now presently the other started to rise to his feet, whereupon his legs were bent ; and when he had risen to his feet, then wabbling were his legs as he walked. And nearly were they on the point of breaking, and almost would he have fallen but for his holding on to something. And this he said as (Nanabushu) was watching him: "By somebody surely am I watched," he said. He spoke again, and this he said: "By somebody surely with a purpose am I watched." Again he went to work hewing upon his shin. When he rose to his feet thereupon bending were his legs ; as he walked beside (the fireplace) there where he lived, he fell over. "Truly, it is a fact that by some body am I watched." After he had looked up towards (where Nanabushu was peeping in), then (Nanabushu) was seen peeping in at him ; and this was what was told
mamaji'i't," kri'nandam. Anic cigwa upiminicawan, midac ||| Nanabushu, he was told: "Wait yet a while, by and by come in," he was told.
minawa kra'wipimwat. Anic mlgu'ku kato'taminit cawaba- ||| And so after he had been watching him, then was he now once more addressed: "Now come on in," he was told. Whereupon truly in he went. Now the other laid a spread there for him to sit down upon. Truly, as he sat there, this he was told: "Quite true, Nanabushu, are you a manitou being, since you were able to come here by canoe for the purpose of seeing me. I suspect that you have not come without a purpose," he was told.
bitonit lisi/u ubigwa'k. Midac mmawa prircimut. Midac ri'ma pimawit. Amc mra/'ta nijininig Ini/u ubigwa'kon, midac wandcisagisit. Ocrwidac ugrrgon Ini/u Maman : "Anin andiyan?" ugrrgon ini/u Maman. "Kwandigtikuca kimawi Nanabucu?" ||| And this he said to him: "For no special object have I come," to him said Nanabushu.
"Aye8, anic misa7 nibuyan, nicimisa." ||| "Not for nothing have you come," he was told.
"Anin ka'tiyan kanibuyan? O*o* icitcigan ; kawm kitanisasl rrman wlyawing anuglpimwat. Nacka, i'i'ma icipimwat usagipinwaning." ||| Naturally he tried to disavow what was told him. "I have come only to make you a visit," he said to him.
ttAyes," ogri'nan. "Ta^wanrnac i'pitawan lni/we anwm magadingin." Mldac ka'rcigwanipit. Mldac a'ta pacigwaninig 48i/u ubigwa'k mldac manu wasa ugra^'pa'a-n. Cigwa minawa uglpimwugon, kayabi pa'tanma'tiniwan lni/u upigwa'kuni. Mldac ka-ijiabami'tawat ; midac manu pacu ka'i'ci'u'ndinawat. Mldac ka'i'jimicutamawat lisi/u utaskibawanansan. Mldac ka'i'jipangicininit ka'i'jisasa'kwat. Kapangicininit, mldac ajimawinanat ka'i'jitangickawat ; ka'i-ji'a'capa'tot. Minawa ka/rjimawinanat minawa kltangickawat ; minawa ka'i'ji'a'japa'tot ; minawa ka-i^jima/rnanat; minawa ka'ijitangickawat ; minawa ka/rjrajapa'tot ; minawa ajimawinanat, ka/ijitangickawat. "Misa iu ka'ijitcigat 'asa/u anicinapa tci-a^ni-a^kiwang ; misa niywing kitangickawat ; misa iu mini'k ka'U'ndiniit 'a8a/u inini i'i'wisa tcimigatit." ||| "Verily, indeed, you are a manitou being, Nanabushu," he was told.
Mldac a'pl 48i/u ka/rjimadci'tat klpa'kunang Ii8i/u utuctigwanim. Mldac ka/rjipasank 48i/u utuctigwanim. Mldac a'pl kapa'tanig 48i/u utuctigwanini mldac a'pl clgwa ka'piklwat. Mldac clgwa mmawa kf pra'cawa'irt 48i/u kistcigami. Kawlndac kayabi oglwabamasln !ni/u Tmdlsiwan kaya Ini/u Wa8wan, mldac ka'pljiniminawa-u't ; kawln kayapi ugiwabamasm Ini/u Kistci'O'gawan kayasagu Ini/u pigiwan. Kawinisagu kago oglwabandazin 48i/u mini'k ka'a'ni'ijat animadcat. A'pl dac pagawat, mldac ciofvva kri'nandank : ||| So therefore in a friendly way they there conversed together. And this (Nanabushu) said to him: "What do you fear that would kill you?" he said to him.
Mldac ka/rciwabamigut Ini/u anicinaban. "Mlmawin (aca/u Nanabucu !" Kri^kitowag lgi/u anicinabag. "Wagunan kinawa kitinandam 'i8i/u panlma'kwa'a'nk?'5 "Mlsa Ii8i/u, nintinandam, udaciyanic kamma'kwa'a-nk." ||| "It is quite evident that you have not come for nothing," he was told.
"Anlc, kaya i-i'man tabajlc kago uglnlma'kwa'a'nini !" ||| "Not," he said to him, "for so long a time would I merely be watching you (if I had come for mischief)," he said to him.
Kunigimn, a'pl rrma agwa-a'cinit Ini/u Nanabucuwan, kuniginln anicinaba uctigwan uglnlma'kwa'a-mlni. Mldac ka-i-'kitot: "Mlsa Io8o ka-o'mbrrguyag anicinabatug." ||| "Yea," and this (Nanabushu) was told: "It is a tiny blue missile upon an arrow, and a piece of flint fastened on for a spear, by such should I be killed. Thus, there fore, have I told you. Now about yours, Nanabushu? What is it that would kill you?"
Mri'dac kaga/t ka/rciwabatinig. Kawm ganaga pang! ||| So this he said to him : " If I should gently touch those cat-tails with my foot, then would I die," he said to him. Now, he was only deceiving him. He was truly not destined to die, that was not the thing by which he would
lO8owidac krr'kito waVu Nanabucu : "Misawa ki'tcikac- ||| be killed. "Now, this is all that I have to say to you." After which to his feet then rose Nanabushu, who came away to the place of his canoe. Whereupon he began preparing what the other had said would kill him. And so he made the arrows. When he had finished them, he then gave a whoop as he made a rush upon the wigwam.
kandank 'a8a/u anicinaba mlgu iu ka-ijipapagwadandank, ||| "You wretch!" was said to Nanabushu. "It is really true that he has come to war against me," was said to (Nanabushu). Now, just as soon as (Nanabushu) had gone out, then was when he began drawing the cat-tails ; he had taken them inside of the place where he lived. Now, when (Nanabushu) approached the wigwam, he then ran out. Whereupon (Nanabushu) shot him in the back, squarely in the middle of the back he hit him. And after he had pulled out the arrow, then (Nanabushu) retreated ; it was then his turn to be pursued, and his turn to be shot in the middle of the back. So thereupon he also had to pull out the other's arrow.
taya pa'kawizl. Mlsa iu ka'ijictcigat lasa/u anicinaba ||| And so there (Nanabushu) forgot his heart, somewhere he had put that heart of his. Now, it was at that very moment that it occurred to him that he should have put away his heart. Thereupon he rushed to the attack ; and when he caught up with (the other), he then shot him. And then it was his turn to run away. And when he was over taken, he was shot. Now he did what he had done before, which was to pull out the other's arrow. So then in turn he pursued him. And when he overtook him, he shot him. So then the other pulled out (the arrow).
Mldac kaegact ka'todank Ia5:a/u mindimoya. Mldac ka-i-lkitot Ia8a/u Nanabucu: "Mlsa iu katotatit lasa/u anicinaba tci-a-ni-a^klwank ; kaga't ogasagi'ton 'aV11 anicinaba 48i/u tcrafni-a^kiwank ; misawa ki'tcikackandank, mlgu iu tciwabinamowind Wu agackandamowin wabandank 48i/u anicinaba uctigwan. Misawa kago papamandasik, po'tc ka'kina awiya agacopi'i'gun Ii8i/u nindicictcigawin. Kaga't ugapapagwatcri'gunawa Igi/u anicinabag," krr'kito 'a8a/u Nanabucu. ||| So then another time was (Nanabushu) pursued, now again was he shot. It was now, to be sure, growing evening. And this was his thought at the time: "I believe that he will overcome me," he thought. So, then, now he chased after him, and then again he went and shot him. Now, that which the other kept on doing all the while was
Wo'o' ugri'gon Ini/u o'kumisan: "Mamindaga kigri*nigapa' 'a8a/u pamatisit 48i/u tcitotatit. Nacka *isi/u wantcrrninan. Nacka iu kimawinanat wasau kitcikiwansi, lisi/u kimawinanat lisiwidec tcitotatit Ia8a/u pitclnag kanipimatisit li8iVidac wandcri-ninan ; Igi/u abinotciyag, na, mlwagugi/u anigi'a'twa. Nax, misa iu nln ajiwabandaman," ugri'gon Ini/u o'kumisan. ||| to bend the arrow. And so again (Nanabushu) ran away. And then to yonder place he came weeping. Now there were but two of his arrows left, and that was the reason why he became afraid. Now, this was he told by the Red-headed Woodpecker: "What is the matter with you?" he was told by the Red-headed Woodpecker. "Is it possi ble that you are really crying, Nanabushu?"
"Aye8," ugri-nan 'a8a/u Nanabushu. "Anlc kawm nindakackitos! 48i/u tciminutcigayamban. Anlc, aja nlngipa'tatciga lisi/u nangwana 48i/u kltotaman," ugrrnan ini/u o'kumisan. "Anlc, mngaglbatis magwa apinotclwiyan," kri-'kito wasa/u Nanabucu. Krr'kito : "Anic kawm atata ningltananagatawatanzl. Kaegalt kitabwe, no'ko, lisi/u a'kitoyan," ogi'i'nan mi/u o'kumisan. ||| "Yes, for now am I going to die, my little brother."
Ml a'kawa ka'i'nat mi/u o'kumisan. Midac a'pi karnadcat, mldac rrman kiundcimadcat idac anodcigu kipapa'i'jitcigat. Mldac miziwa kl'ijat 'oso/u a'ki. Nackadac ka'ijictcigat o*o'man a'king. ||| " Why is it that you should die ? This you should do •, not could you kill him if you should shoot him here in the body (as you have been doing). But rather, the place for you to shoot him is in the wrap of his knot of hair."
Ningutingigu rrman mamonsutkawat, "Ambasanona, kosinan ta-a<cka. Mlgwantacinac iu alta pimisa'kwat," ugl•i -Hawaii Ini/u osiwan. ||| given him. So then was he well pleased over it. "It is certain that I shall eat too," he thought. "Truly, very excellently are we now living."
